매장명,승인번호,금액,결제수단,상태,배달여부,승인일시,취소일시
카카온 테스트 매장,24010188848,10000,CARD,APPROVED,배달,2024-01-01 00:27:43,
카카온 테스트 매장,24010111484,20000,KAKAOPAY,APPROVED,매장,2024-01-01 00:57:48,
카카온 테스트 매장,24010149871,20000,CASH,APPROVED,배달,2024-01-01 01:11:29,
카카온 테스트 매장,24010160448,40000,CASH,CANCELED,매장,2024-01-01 03:03:31,2024-01-02 20:03:31
카카온 테스트 매장,24010151359,5000,CARD,APPROVED,배달,2024-01-01 07:21:59,
카카온 테스트 매장,24010185418,40000,CARD,APPROVED,매장,2024-01-01 13:40:44,
카카온 테스트 매장,24010197018,15000,CASH,APPROVED,배달,2024-01-01 18:26:48,
카카온 테스트 매장,24010153341,50000,CARD,CANCELED,배달,2024-01-01 19:56:02,2024-01-03 13:56:02
카카온 테스트 매장,24010146281,30000,CARD,APPROVED,매장,2024-01-01 21:21:41,
카카온 테스트 매장,24010165440,30000,CARD,APPROVED,배달,2024-01-01 21:27:04,
카카온 테스트 매장,24010108653,20000,CASH,APPROVED,매장,2024-01-01 23:10:32,
카카온 테스트 매장,24010253289,15000,CASH,APPROVED,매장,2024-01-02 06:28:47,
카카온 테스트 매장,24010273489,50000,TRANSFER,APPROVED,매장,2024-01-02 09:18:06,
카카온 테스트 매장,24010265321,30000,CARD,APPROVED,매장,2024-01-02 09:19:44,
카카온 테스트 매장,24010209613,20000,KAKAOPAY,APPROVED,매장,2024-01-02 11:58:08,
카카온 테스트 매장,24010239346,30000,CASH,APPROVED,매장,2024-01-02 13:32:21,
카카온 테스트 매장,24010200714,40000,CASH,APPROVED,매장,2024-01-02 13:46:03,
카카온 테스트 매장,24010200229,5000,KAKAOPAY,APPROVED,배달,2024-01-02 13:50:24,
카카온 테스트 매장,24010284834,10000,KAKAOPAY,APPROVED,배달,2024-01-02 13:55:21,
카카온 테스트 매장,24010220719,20000,KAKAOPAY,APPROVED,매장,2024-01-02 16:54:19,
카카온 테스트 매장,24010248541,15000,CARD,APPROVED,배달,2024-01-02 17:32:09,
카카온 테스트 매장,24010291308,10000,CARD,APPROVED,매장,2024-01-02 17:52:22,
카카온 테스트 매장,24010242664,15000,CARD,APPROVED,배달,2024-01-02 19:20:10,
카카온 테스트 매장,24010208727,50000,CARD,APPROVED,매장,2024-01-02 19:42:09,
카카온 테스트 매장,24010235619,25000,KAKAOPAY,APPROVED,매장,2024-01-02 21:42:13,
카카온 테스트 매장,24010338687,50000,CARD,APPROVED,배달,2024-01-03 02:35:59,
카카온 테스트 매장,24010370294,5000,KAKAOPAY,APPROVED,배달,2024-01-03 03:12:12,
카카온 테스트 매장,24010339382,5000,KAKAOPAY,APPROVED,매장,2024-01-03 05:25:19,
카카온 테스트 매장,24010321719,5000,TRANSFER,APPROVED,매장,2024-01-03 05:32:05,
카카온 테스트 매장,24010394999,50000,CARD,APPROVED,매장,2024-01-03 06:04:33,
카카온 테스트 매장,24010386210,25000,CASH,APPROVED,매장,2024-01-03 12:07:57,
카카온 테스트 매장,24010366128,20000,CARD,APPROVED,매장,2024-01-03 18:02:16,
카카온 테스트 매장,24010320778,50000,KAKAOPAY,APPROVED,배달,2024-01-03 18:30:44,
카카온 테스트 매장,24010392355,40000,CARD,APPROVED,매장,2024-01-03 20:00:07,
카카온 테스트 매장,24010366181,25000,CARD,APPROVED,매장,2024-01-03 21:27:27,
카카온 테스트 매장,24010368878,15000,CARD,APPROVED,배달,2024-01-03 23:27:55,
카카온 테스트 매장,24010403429,5000,KAKAOPAY,APPROVED,매장,2024-01-04 03:06:16,
카카온 테스트 매장,24010451575,25000,CASH,APPROVED,매장,2024-01-04 04:29:54,
카카온 테스트 매장,24010402436,20000,CARD,APPROVED,매장,2024-01-04 05:02:00,
카카온 테스트 매장,24010438599,50000,KAKAOPAY,APPROVED,매장,2024-01-04 05:28:20,
카카온 테스트 매장,24010481917,5000,CARD,APPROVED,매장,2024-01-04 06:36:08,
카카온 테스트 매장,24010409156,30000,CARD,APPROVED,배달,2024-01-04 06:48:54,
카카온 테스트 매장,24010484590,50000,CARD,APPROVED,매장,2024-01-04 07:33:06,
카카온 테스트 매장,24010491627,30000,CASH,APPROVED,매장,2024-01-04 07:48:10,
카카온 테스트 매장,24010424048,10000,KAKAOPAY,CANCELED,매장,2024-01-04 08:47:42,2024-01-07 05:47:42
